song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Dance Hall Days (Re-Recorded),Wang Chung,0.641,0.784,0,-6.38,1,0.0366,0.0498,0.00934,0.381,0.488,102.676,audio_features,41OIyMJsSFMjdjZjL4tHEx,spotify:track:41OIyMJsSFMjdjZjL4tHEx,https://api.spotify.com/v1/tracks/41OIyMJsSFMjdjZjL4tHEx,https://api.spotify.com/v1/audio-analysis/41OIyMJsSFMjdjZjL4tHEx,238148,4
Touch,Noiseworks,0.378,0.889,7,-9.526,1,0.069,0.261,0.617,0.317,0.158,116.299,audio_features,5xdNnwxTSrtgBkdqKKx4gl,spotify:track:5xdNnwxTSrtgBkdqKKx4gl,https://api.spotify.com/v1/tracks/5xdNnwxTSrtgBkdqKKx4gl,https://api.spotify.com/v1/audio-analysis/5xdNnwxTSrtgBkdqKKx4gl,303840,4
Summer Nights - From “Grease”,"John Travolta, Olivia Newton-John",0.747,0.663,2,-9.415,1,0.0545,0.62,5.24e-05,0.0861,0.606,124.336,audio_features,2AVkArcfALVk2X8sfPRzya,spotify:track:2AVkArcfALVk2X8sfPRzya,https://api.spotify.com/v1/tracks/2AVkArcfALVk2X8sfPRzya,https://api.spotify.com/v1/audio-analysis/2AVkArcfALVk2X8sfPRzya,216907,4
I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,0.642,0.875,6,-3.14,1,0.042,0.0233,0.0,0.19,0.556,124.946,audio_features,3AJk0zltdY4XjD2be7a7ss,spotify:track:3AJk0zltdY4XjD2be7a7ss,https://api.spotify.com/v1/tracks/3AJk0zltdY4XjD2be7a7ss,https://api.spotify.com/v1/audio-analysis/3AJk0zltdY4XjD2be7a7ss,244147,4
Give Me the Night,George Benson,0.85,0.466,1,-15.673,1,0.0555,0.314,0.0234,0.129,0.86,109.936,audio_features,62GYoGszQfROZswLee6W3O,spotify:track:62GYoGszQfROZswLee6W3O,https://api.spotify.com/v1/tracks/62GYoGszQfROZswLee6W3O,https://api.spotify.com/v1/audio-analysis/62GYoGszQfROZswLee6W3O,222627,4
Harley & Rose,The Black Sorrows,0.641,0.63,7,-15.264,1,0.0404,0.092,1.66e-05,0.178,0.562,103.91,audio_features,3fjA8feYyRg4wcxpNhyi73,spotify:track:3fjA8feYyRg4wcxpNhyi73,https://api.spotify.com/v1/tracks/3fjA8feYyRg4wcxpNhyi73,https://api.spotify.com/v1/audio-analysis/3fjA8feYyRg4wcxpNhyi73,234800,4
Miracle of Love,"Eurythmics, Annie Lennox, Dave Stewart",0.528,0.469,2,-12.552,1,0.026,0.297,1.79e-06,0.361,0.317,106.386,audio_features,6noSuYjYAXxM91DEaTAaFy,spotify:track:6noSuYjYAXxM91DEaTAaFy,https://api.spotify.com/v1/tracks/6noSuYjYAXxM91DEaTAaFy,https://api.spotify.com/v1/audio-analysis/6noSuYjYAXxM91DEaTAaFy,275000,4
Life Is A Highway,Tom Cochrane,0.683,0.751,5,-10.184,1,0.0346,0.0681,8.36e-06,0.248,0.841,103.036,audio_features,0hKF8N8aflF1uDzEEnPr2j,spotify:track:0hKF8N8aflF1uDzEEnPr2j,https://api.spotify.com/v1/tracks/0hKF8N8aflF1uDzEEnPr2j,https://api.spotify.com/v1/audio-analysis/0hKF8N8aflF1uDzEEnPr2j,266560,4
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,audio_features,3vkQ5DAB1qQMYO4Mr9zJN6,spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,https://api.spotify.com/v1/tracks/3vkQ5DAB1qQMYO4Mr9zJN6,https://api.spotify.com/v1/audio-analysis/3vkQ5DAB1qQMYO4Mr9zJN6,292613,4
She's so High,Tal Bachman,0.537,0.84,9,-4.626,1,0.0363,0.2,2.15e-06,0.0998,0.211,124.269,audio_features,7mnGQesk1TzQLzQ9bYWZPR,spotify:track:7mnGQesk1TzQLzQ9bYWZPR,https://api.spotify.com/v1/tracks/7mnGQesk1TzQLzQ9bYWZPR,https://api.spotify.com/v1/audio-analysis/7mnGQesk1TzQLzQ9bYWZPR,224693,4
